*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,0,16/10/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,4,23/10/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,0,30/10/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,06/11/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,4,13/11/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,12,20/11/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,11,27/11/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,22,04/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,16,11/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,19,18/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,6,25/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,37,01/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,24,08/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,63,15/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,3,22/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,5,29/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,122,05/02/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,234,12/02/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,130,19/02/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,194,26/02/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,294,04/03/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,80,11/03/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,73,18/03/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,86,25/03/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,136,01/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,144,08/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,67,15/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,102,22/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,95,29/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,101,06/05/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,133,13/05/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,208,20/05/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,72,27/05/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,196,03/06/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,218,10/06/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,129,17/06/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,234,24/06/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,193,01/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,170,08/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,221,15/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,540,22/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,414,29/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,179,05/08/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,219,12/08/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,170,19/08/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,4,05/02/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,12/02/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,26/02/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,44,04/03/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,0,18/03/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3,10/06/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,08/07/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3,15/07/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,22/07/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,29/07/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,05/08/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,12/08/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,3,19/08/2024,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,2,12/02/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,1,19/02/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,3,26/02/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,35,04/03/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,3,03/06/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,6,10/06/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,3,01/07/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,2,08/07/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,2,15/07/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,14,22/07/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,5,29/07/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,31,05/08/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,8,12/08/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3010,ORDERS,7D,AGGREGATED WEEKLY,12,19/08/2024,1, ,Fuze Tea,NR,Foraneas,NL Foraneo,Noreste,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,10,05/02/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,4,12/02/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,7,19/02/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,12,26/02/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,22,04/03/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,20,11/03/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,4,18/03/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,10,25/03/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
