*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS,U_ACTIVO
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,292,01/01/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,Cleanse History,-267.8333333,01/01/2024,2,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,446,08/01/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,510,15/01/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,669,22/01/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,564,29/01/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,661,05/02/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,400,12/02/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,674,19/02/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,557,26/02/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,558,04/03/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,691,11/03/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,620,18/03/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,433,25/03/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,458,01/04/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,624,08/04/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,770,15/04/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,575,22/04/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,841,29/04/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,681,06/05/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,896,13/05/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,571,20/05/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,823,27/05/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,703,03/06/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,"1,019.00",10/06/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,682,17/06/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,908,24/06/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,482,01/07/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,588,08/07/2024,1,C,Coca-Cola Light,NR,Guadalupe,Monterrey,Noreste,L,A
