*DmdUnit,*DmdGroup,*Loc,*StartDate,Qty,*Event
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/01/2024,292,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/01/2024,-267.8333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/01/2024,446,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/01/2024,510,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/01/2024,669,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/01/2024,564,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/02/2024,661,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/02/2024,400,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/02/2024,674,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/02/2024,557,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/03/2024,558,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/03/2024,691,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/03/2024,620,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/03/2024,433,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/04/2024,458,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/04/2024,624,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/04/2024,770,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/04/2024,575,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/04/2024,841,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/05/2024,681,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/05/2024,896,AGGREGATED WEEKLY
