*DmdUnit,*DmdGroup,*Loc,*StartDate,Qty,*Event
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/12/2020,0,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/01/2021,435,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/01/2021,-300.5,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/01/2021,809,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/01/2021,73.5,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/01/2021,641,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/01/2021,777,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/02/2021,770,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/02/2021,663,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/02/2021,695,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/02/2021,867,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/03/2021,581,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/03/2021,620,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/03/2021,683,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/03/2021,769,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/03/2021,697,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/04/2021,729,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/04/2021,666,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/04/2021,614,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/04/2021,820,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/05/2021,796,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/05/2021,761,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/05/2021,642,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/05/2021,730,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/05/2021,605,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/06/2021,882,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/06/2021,1237,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/06/2021,618,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/06/2021,572,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/06/2021,-259.8333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/07/2021,870,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/07/2021,38.16666667,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/07/2021,646,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/07/2021,781,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/07/2021,827,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/08/2021,975,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/08/2021,229.8333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/08/2021,726,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/08/2021,802,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/08/2021,689,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/08/2021,856,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/09/2021,792,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/09/2021,795,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/09/2021,870,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/09/2021,742,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/10/2021,1048,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/10/2021,726,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/10/2021,648,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/10/2021,656,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/11/2021,714,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/11/2021,664,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/11/2021,577,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/11/2021,641,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/11/2021,621,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/12/2021,681,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/12/2021,519,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/12/2021,573,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/12/2021,382,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/01/2022,636,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/01/2022,482,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/01/2022,724,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/01/2022,647,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/01/2022,511,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/02/2022,506,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/02/2022,539,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/02/2022,620,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/02/2022,344,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/02/2022,-219.3333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/03/2022,446,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/03/2022,266,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/03/2022,-310,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/03/2022,335,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/03/2022,-241,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/03/2022,597,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/04/2022,672,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/04/2022,582,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/04/2022,582,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/04/2022,493,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/05/2022,637,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/05/2022,440,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/05/2022,731,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/05/2022,597,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/05/2022,668,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/06/2022,778,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/06/2022,691,AGGREGATED WEEKLY
