Importing plotly failed. Interactive plots will not work.
[PIPE] Frecuencia efectiva para el modelado: MS

[DEBUG-ZEROS] ---- Diagnóstico por combinación (post-resample) ----
  • 7.50E+12 | default | DISTRIBUIDORES -> n=39, %ceros=100.00%, pasa_filtro=False
  • AGUA EMBOTELLADA 600 ML | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • AGUA EMBOTELLADA 600 ML | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • AGUA EMBOTELLADA 600 ML | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • ALFA SUERO EN POLVO | default | B2B -> n=40, %ceros=60.00%, pasa_filtro=True
  • ALIM LIQ FERMENTADO DURAZNO PAST PQ C/6 220ML | default | GEPP -> n=40, %ceros=97.50%, pasa_filtro=False
  • ALIM LIQ FERMENTADO FRESA PAST PQ C/6 220ML | default | GEPP -> n=40, %ceros=100.00%, pasa_filtro=False
  • ALIMENTOS CAFETERIA | default | DETALLE -> n=40, %ceros=100.00%, pasa_filtro=False
  • ALIMENTOS CAFETERIA | default | OTROS -> n=40, %ceros=100.00%, pasa_filtro=False
  • ALIMENTOS CAFETERIA | default | TIENDAS -> n=40, %ceros=100.00%, pasa_filtro=False
  • ALPURA FRUTAL  DURAZNO 1L | default | AUTOSERVICIOS -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | CLUB DE PRECIOS -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | DETALLE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | DISTRIBUIDORES -> n=40, %ceros=50.00%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | E-COMMERCE -> n=40, %ceros=80.00%, pasa_filtro=False
  • ALPURA FRUTAL  DURAZNO 1L | default | FOOD SERVICE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | GOBIERNO -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | MAYOREO -> n=40, %ceros=52.50%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | OTROS -> n=40, %ceros=52.50%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | PROXIMIDAD -> n=40, %ceros=52.50%, pasa_filtro=True
  • ALPURA FRUTAL  DURAZNO 1L | default | TIENDAS -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | AUTOSERVICIOS -> n=40, %ceros=57.50%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | DETALLE -> n=40, %ceros=55.00%, pasa_filtro=True
  • ALPURA FRUTAL  FRESA 1L | default | DISTRIBUIDORES -> n=40, %ceros=42.50%, pasa_filtro=True
