Producto,Canal,Ubicacion,Fecha,Cantidad
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/12/2020,0
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/01/2021,435
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/01/2021,809
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/01/2021,641
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/01/2021,777
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/02/2021,770
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/02/2021,663
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/02/2021,695
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/02/2021,867
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/03/2021,581
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/03/2021,620
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/03/2021,683
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/03/2021,769
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/03/2021,697
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/04/2021,729
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/04/2021,666
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/04/2021,614
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/04/2021,820
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/05/2021,796
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/05/2021,761
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/05/2021,642
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/05/2021,730
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/05/2021,605
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/06/2021,882
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/06/2021,1237
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/06/2021,618
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/06/2021,572
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/07/2021,870
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/07/2021,646
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/07/2021,781
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/07/2021,827
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/08/2021,975
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/08/2021,726
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/08/2021,802
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/08/2021,689
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/08/2021,856
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/09/2021,792
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/09/2021,795
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/09/2021,870
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/09/2021,742
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/10/2021,1048
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/10/2021,726
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/10/2021,648
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/10/2021,656
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/11/2021,714
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/11/2021,664
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/11/2021,577
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/11/2021,641
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/11/2021,621
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/12/2021,681
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/12/2021,519
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/12/2021,573
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/12/2021,382
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/01/2022,636
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/01/2022,482
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/01/2022,724
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/01/2022,647
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/01/2022,511
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/02/2022,506
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/02/2022,539
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/02/2022,620
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/02/2022,344
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/03/2022,446
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/03/2022,266
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/03/2022,335
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/03/2022,597
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/04/2022,672
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/04/2022,582
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/04/2022,582
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/04/2022,493
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/05/2022,637
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/05/2022,440
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/05/2022,731
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/05/2022,597
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/05/2022,668
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/06/2022,778
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/06/2022,691
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/06/2022,596
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/06/2022,646
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/07/2022,1008
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/07/2022,865
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/07/2022,1003
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/07/2022,1053
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/08/2022,846
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/08/2022,736
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/08/2022,798
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/08/2022,781
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/08/2022,974
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/09/2022,804
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/09/2022,725
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/09/2022,675
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/09/2022,910
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/10/2022,819
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/10/2022,631
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/10/2022,614
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/10/2022,614
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/10/2022,668
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/11/2022,607
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/11/2022,550
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/11/2022,59
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/11/2022,1057
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/12/2022,968
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/12/2022,900
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/12/2022,532
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/12/2022,415
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/01/2023,781
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/01/2023,449
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/01/2023,860
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/01/2023,484
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/01/2023,498
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/02/2023,415
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/02/2023,850
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/02/2023,554
