Producto,Canal,Ubicacion,Fecha,Cantidad
AGUA EMBOTELLADA 600 ML,default,DETALLE,01/01/2022,0
AGUA EMBOTELLADA 600 ML,default,OTROS,01/01/2022,0
AGUA EMBOTELLADA 600 ML,default,TIENDAS,01/01/2022,0
ALFA SUERO EN POLVO,default,B2B,01/01/2022,0
ALIM LIQ FERMENTADO DURAZNO PAST PQ C/6 220ML,default,GEPP,01/01/2022,0
ALIM LIQ FERMENTADO FRESA PAST PQ C/6 220ML,default,GEPP,01/01/2022,0
ALIMENTOS CAFETERIA,default,DETALLE,01/01/2022,0
ALIMENTOS CAFETERIA,default,OTROS,01/01/2022,0
ALIMENTOS CAFETERIA,default,TIENDAS,01/01/2022,0
ALPURA FRUTAL  DURAZNO 1L,default,AUTOSERVICIOS,01/01/2022,124967
ALPURA FRUTAL  DURAZNO 1L,default,CLUB DE PRECIOS,01/01/2022,76
ALPURA FRUTAL  DURAZNO 1L,default,DETALLE,01/01/2022,64889
ALPURA FRUTAL  DURAZNO 1L,default,DISTRIBUIDORES,01/01/2022,10421
ALPURA FRUTAL  DURAZNO 1L,default,E-COMMERCE,01/01/2022,0
ALPURA FRUTAL  DURAZNO 1L,default,FOOD SERVICE,01/01/2022,585
ALPURA FRUTAL  DURAZNO 1L,default,GOBIERNO,01/01/2022,116
ALPURA FRUTAL  DURAZNO 1L,default,MAYOREO,01/01/2022,14646
ALPURA FRUTAL  DURAZNO 1L,default,OTROS,01/01/2022,737
ALPURA FRUTAL  DURAZNO 1L,default,PROXIMIDAD,01/01/2022,26034
ALPURA FRUTAL  DURAZNO 1L,default,TIENDAS,01/01/2022,144
ALPURA FRUTAL  FRESA 1L,default,AUTOSERVICIOS,01/01/2022,274556
ALPURA FRUTAL  FRESA 1L,default,DETALLE,01/01/2022,111859
ALPURA FRUTAL  FRESA 1L,default,DISTRIBUIDORES,01/01/2022,30927
ALPURA FRUTAL  FRESA 1L,default,E-COMMERCE,01/01/2022,0
ALPURA FRUTAL  FRESA 1L,default,FOOD SERVICE,01/01/2022,1762
ALPURA FRUTAL  FRESA 1L,default,GOBIERNO,01/01/2022,139
ALPURA FRUTAL  FRESA 1L,default,MAYOREO,01/01/2022,30490
ALPURA FRUTAL  FRESA 1L,default,OTROS,01/01/2022,2658
ALPURA FRUTAL  FRESA 1L,default,PROXIMIDAD,01/01/2022,60169
ALPURA FRUTAL  FRESA 1L,default,TIENDAS,01/01/2022,237
ALPURA FRUTAL  MANGO 1L,default,AUTOSERVICIOS,01/01/2022,94935
ALPURA FRUTAL  MANGO 1L,default,DETALLE,01/01/2022,47082
ALPURA FRUTAL  MANGO 1L,default,DISTRIBUIDORES,01/01/2022,1884
ALPURA FRUTAL  MANGO 1L,default,FOOD SERVICE,01/01/2022,397
ALPURA FRUTAL  MANGO 1L,default,GOBIERNO,01/01/2022,98
ALPURA FRUTAL  MANGO 1L,default,MAYOREO,01/01/2022,8798
ALPURA FRUTAL  MANGO 1L,default,OTROS,01/01/2022,2189
ALPURA FRUTAL  MANGO 1L,default,PROXIMIDAD,01/01/2022,523
ALPURA FRUTAL  MANGO 1L,default,TIENDAS,01/01/2022,113
ALPURA FRUTAL PI?A COCO 1L,default,AUTOSERVICIOS,01/01/2022,92988
ALPURA FRUTAL PI?A COCO 1L,default,DETALLE,01/01/2022,51223
ALPURA FRUTAL PI?A COCO 1L,default,DISTRIBUIDORES,01/01/2022,9253
ALPURA FRUTAL PI?A COCO 1L,default,E-COMMERCE,01/01/2022,0
ALPURA FRUTAL PI?A COCO 1L,default,FOOD SERVICE,01/01/2022,461
ALPURA FRUTAL PI?A COCO 1L,default,GOBIERNO,01/01/2022,116
ALPURA FRUTAL PI?A COCO 1L,default,MAYOREO,01/01/2022,9716
ALPURA FRUTAL PI?A COCO 1L,default,OTROS,01/01/2022,4884
ALPURA FRUTAL PI?A COCO 1L,default,PROXIMIDAD,01/01/2022,8494
ALPURA FRUTAL PI?A COCO 1L,default,TIENDAS,01/01/2022,187
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,AUTOSERVICIOS,01/01/2022,100500
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,DETALLE,01/01/2022,8458
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,DISTRIBUIDORES,01/01/2022,11301
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,FOOD SERVICE,01/01/2022,39
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,GOBIERNO,01/01/2022,24
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,MAYOREO,01/01/2022,19356
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,OTROS,01/01/2022,125
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,PROXIMIDAD,01/01/2022,5768
ALPURA KIDS UP CRECIMIENTO EDGE 1 L,default,TIENDAS,01/01/2022,1704
BAGUETTE,default,TIENDAS,01/01/2022,0
BASE BATIDO RICH GRANEL,default,FOOD SERVICE,01/01/2022,4852
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,AUTOSERVICIOS,01/01/2022,41678.868
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,DETALLE,01/01/2022,189.2
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,DISTRIBUIDORES,01/01/2022,567.6
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,E-COMMERCE,01/01/2022,0
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,FOOD SERVICE,01/01/2022,14.19
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,GOBIERNO,01/01/2022,0
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,MAYOREO,01/01/2022,992.354
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,OTROS,01/01/2022,9.46
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,PROXIMIDAD,01/01/2022,5.676
BEBIDA VEGETAL ALMENDRA UHT SEEDS COMBIFIT 946ML,default,TIENDAS,01/01/2022,105.952
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,AUTOSERVICIOS,01/01/2022,25053.864
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,DETALLE,01/01/2022,148.522
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,DISTRIBUIDORES,01/01/2022,590.304
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,E-COMMERCE,01/01/2022,0
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,FOOD SERVICE,01/01/2022,11.352
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,GOBIERNO,01/01/2022,0
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,MAYOREO,01/01/2022,936.54
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,OTROS,01/01/2022,2.838
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,PROXIMIDAD,01/01/2022,5.676
BEBIDA VEGETAL COCO UHT SEEDS COMBIFIT 946ML,default,TIENDAS,01/01/2022,68.112
BEBIDAS CAFETERIA,default,DETALLE,01/01/2022,0
BEBIDAS CAFETERIA,default,OTROS,01/01/2022,0
BEBIDAS CAFETERIA,default,TIENDAS,01/01/2022,0
BOLA DE HELADO MENTA CON CHISPAS 87 MILILITROS,default,TIENDAS,01/01/2022,0
BOLA HELADO 110 G,default,DETALLE,01/01/2022,0
BOLA HELADO 110 G,default,OTROS,01/01/2022,0
BOLA HELADO 110 G,default,TIENDAS,01/01/2022,0
BOLA HELADO 174 MM,default,TIENDAS,01/01/2022,0
BOLA HELADO 220 G,default,DETALLE,01/01/2022,0
BOLA HELADO 220 G,default,OTROS,01/01/2022,0
BOLA HELADO 220 G,default,TIENDAS,01/01/2022,0
BOLA HELADO 87 MM,default,TIENDAS,01/01/2022,0
BOLA HELADO LIMON AGUA 87 MM,default,TIENDAS,01/01/2022,0
CAFE AMERICANO 12 OZ,default,OTROS,01/01/2022,0
CAFE AMERICANO 12 OZ,default,TIENDAS,01/01/2022,0
CAFE AMERICANO 16 OZ,default,DETALLE,01/01/2022,0
CAFE AMERICANO 16 OZ,default,OTROS,01/01/2022,0
CAFE AMERICANO 16 OZ,default,TIENDAS,01/01/2022,0
CAFE EXPRESSO TRADICIONAL 4 OZ,default,OTROS,01/01/2022,0
CAFE EXPRESSO TRADICIONAL 4 OZ,default,TIENDAS,01/01/2022,0
CAFE EXPRESSO TRADICIONAL DOBLE 4 OZ,default,OTROS,01/01/2022,0
CAFE EXPRESSO TRADICIONAL DOBLE 4 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO CREAM 12 OZ,default,OTROS,01/01/2022,0
CAPUCCINO CREAM 12 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO CREAM 16 OZ,default,DETALLE,01/01/2022,0
CAPUCCINO CREAM 16 OZ,default,OTROS,01/01/2022,0
CAPUCCINO CREAM 16 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO DESCAFEINADO 12 OZ,default,OTROS,01/01/2022,0
CAPUCCINO DESCAFEINADO 12 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO DESCAFEINADO 16 OZ,default,OTROS,01/01/2022,0
CAPUCCINO DESCAFEINADO 16 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO FROZEN 12 OZ,default,OTROS,01/01/2022,0
CAPUCCINO FROZEN 12 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO FROZEN 16 OZ,default,DETALLE,01/01/2022,0
CAPUCCINO FROZEN 16 OZ,default,OTROS,01/01/2022,0
CAPUCCINO FROZEN 16 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO MOKA 12 OZ,default,OTROS,01/01/2022,0
CAPUCCINO MOKA 12 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO MOKA 16 OZ,default,DETALLE,01/01/2022,0
CAPUCCINO MOKA 16 OZ,default,OTROS,01/01/2022,0
CAPUCCINO MOKA 16 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO SABORIZADO 12 OZ,default,OTROS,01/01/2022,0
CAPUCCINO SABORIZADO 12 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO SABORIZADO 16 OZ,default,DETALLE,01/01/2022,0
CAPUCCINO SABORIZADO 16 OZ,default,OTROS,01/01/2022,0
CAPUCCINO SABORIZADO 16 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO TRADICIONAL 12 OZ,default,DETALLE,01/01/2022,0
CAPUCCINO TRADICIONAL 12 OZ,default,OTROS,01/01/2022,0
CAPUCCINO TRADICIONAL 12 OZ,default,TIENDAS,01/01/2022,0
CAPUCCINO TRADICIONAL 16 OZ,default,DETALLE,01/01/2022,0
CAPUCCINO TRADICIONAL 16 OZ,default,OTROS,01/01/2022,0
CAPUCCINO TRADICIONAL 16 OZ,default,TIENDAS,01/01/2022,0
CHAPATA BUFALO,default,DETALLE,01/01/2022,0
CHAPATA BUFALO,default,OTROS,01/01/2022,0
CHAPATA BUFALO,default,TIENDAS,01/01/2022,0
CHOCOLATE BLANCO 12 OZ,default,OTROS,01/01/2022,0
CHOCOLATE BLANCO 12 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE BLANCO 16 OZ,default,OTROS,01/01/2022,0
CHOCOLATE BLANCO 16 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE CALIENTE 12 OZ,default,DETALLE,01/01/2022,0
CHOCOLATE CALIENTE 12 OZ,default,OTROS,01/01/2022,0
CHOCOLATE CALIENTE 12 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE CALIENTE 16 OZ,default,OTROS,01/01/2022,0
CHOCOLATE CALIENTE 16 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE ESPUMOSO AMARGO 12 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE ESPUMOSO AMARGO 16 OZ,default,DETALLE,01/01/2022,0
CHOCOLATE ESPUMOSO AMARGO 16 OZ,default,OTROS,01/01/2022,0
CHOCOLATE ESPUMOSO AMARGO 16 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE MALVADITO 12 OZ,default,OTROS,01/01/2022,0
CHOCOLATE MALVADITO 12 OZ,default,TIENDAS,01/01/2022,0
CHOCOLATE MALVADITO 16 OZ,default,TIENDAS,01/01/2022,0
CREMA A. 450 ML. PAQ. C/3,default,AUTOSERVICIOS,01/01/2022,0
CREMA A. 450 ML. PAQ. C/3,default,CLUB DE PRECIOS,01/01/2022,14384.25
CREMA A. 450 ML. PAQ. C/3,default,OTROS,01/01/2022,1117.8
CREMA ACIDA 25 GR DE GRASA 200 ML,default,AUTOSERVICIOS,01/01/2022,170983.8
CREMA ACIDA 25 GR DE GRASA 200 ML,default,CLUB DE PRECIOS,01/01/2022,0
CREMA ACIDA 25 GR DE GRASA 200 ML,default,DETALLE,01/01/2022,791399.6
CREMA ACIDA 25 GR DE GRASA 200 ML,default,DISTRIBUIDORES,01/01/2022,195762.2
CREMA ACIDA 25 GR DE GRASA 200 ML,default,E-COMMERCE,01/01/2022,206.2
CREMA ACIDA 25 GR DE GRASA 200 ML,default,FOOD SERVICE,01/01/2022,3309.8
CREMA ACIDA 25 GR DE GRASA 200 ML,default,GEPP,01/01/2022,7152
