Producto,Canal,Ubicacion,Fecha,Cantidad
4,default,1,08/05/2024,1
4,default,1,01/07/2024,1
4,default,1,22/07/2024,1
4,default,1,20/08/2024,3
4,default,1,31/08/2024,1
4,default,1,25/09/2024,1
4,default,1,19/10/2024,2
4,default,1,01/11/2024,2
4,default,1,04/11/2024,1
4,default,1,05/11/2024,1
4,default,1,12/11/2024,1
4,default,1,13/12/2024,2
4,default,1,18/12/2024,4
4,default,1,19/12/2024,4
4,default,1,20/12/2024,6
4,default,1,13/01/2025,1
4,default,1,03/03/2025,1
4,default,1,24/03/2025,3
4,default,1,26/03/2025,5
6,default,1,08/05/2024,1
6,default,1,23/12/2024,2
6,default,1,31/01/2025,2
6,default,1,08/02/2025,1
41,default,1,15/04/2024,2
41,default,1,30/04/2024,1
41,default,1,02/05/2024,1
41,default,1,13/05/2024,2
41,default,1,14/05/2024,1
41,default,1,22/07/2024,4
41,default,1,26/07/2024,3
41,default,1,27/07/2024,1
41,default,1,15/08/2024,2
41,default,1,19/08/2024,1
41,default,1,20/08/2024,1
41,default,1,28/08/2024,1
41,default,1,30/08/2024,2
41,default,1,18/09/2024,1
41,default,1,21/09/2024,1
41,default,1,17/10/2024,1
41,default,1,18/10/2024,4
41,default,1,24/10/2024,1
41,default,1,11/11/2024,1
41,default,1,22/11/2024,1
41,default,1,26/11/2024,1
41,default,1,23/12/2024,2
41,default,1,28/12/2024,1
41,default,1,31/12/2024,1
41,default,1,06/01/2025,1
41,default,1,16/01/2025,3
41,default,1,21/01/2025,1
41,default,1,23/01/2025,1
41,default,1,10/02/2025,1
41,default,1,21/02/2025,1
41,default,1,25/02/2025,1
41,default,1,24/03/2025,3
41,default,1,01/04/2025,1
64,default,1,17/04/2024,2
64,default,1,20/04/2024,1
64,default,1,24/04/2024,1
64,default,1,25/04/2024,1
64,default,1,02/05/2024,1
64,default,1,04/05/2024,1
64,default,1,06/05/2024,1
64,default,1,18/05/2024,1
64,default,1,22/05/2024,1
64,default,1,23/05/2024,1
64,default,1,25/05/2024,1
64,default,1,30/05/2024,1
64,default,1,25/06/2024,1
64,default,1,26/06/2024,2
64,default,1,27/06/2024,2
64,default,1,28/06/2024,1
64,default,1,03/07/2024,2
64,default,1,04/07/2024,1
64,default,1,08/07/2024,1
64,default,1,09/07/2024,1
64,default,1,12/07/2024,1
64,default,1,17/07/2024,1
64,default,1,20/07/2024,1
64,default,1,23/07/2024,1
64,default,1,24/07/2024,1
64,default,1,25/07/2024,1
64,default,1,29/07/2024,5
64,default,1,02/08/2024,1
64,default,1,05/08/2024,1
64,default,1,08/08/2024,1
64,default,1,16/08/2024,2
64,default,1,20/08/2024,1
64,default,1,02/10/2024,1
64,default,1,18/10/2024,3
64,default,1,24/10/2024,2
64,default,1,25/10/2024,4
64,default,1,01/11/2024,1
64,default,1,02/11/2024,2
64,default,1,09/11/2024,1
64,default,1,26/11/2024,1
64,default,1,02/12/2024,1
