Producto,Canal,Ubicacion,Fecha,Cantidad
P001,CNL_INDUSTRIAL,DC_3001,01/01/2023,4934
P002,CNL_INDUSTRIAL,DC_3001,01/01/2023,2729
P003,CNL_INDUSTRIAL,DC_3001,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3001,01/01/2023,5769
P002,CNL_TRANSPORTE,DC_3001,01/01/2023,38158
P003,CNL_TRANSPORTE,DC_3001,01/01/2023,0
P001,CNL_RETAIL,DC_3001,01/01/2023,4830
P002,CNL_RETAIL,DC_3001,01/01/2023,9785
P003,CNL_RETAIL,DC_3001,01/01/2023,0
P001,CNL_GOBIERNO,DC_3001,01/01/2023,3581
P002,CNL_GOBIERNO,DC_3001,01/01/2023,7164
P003,CNL_GOBIERNO,DC_3001,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3002,01/01/2023,5670
P002,CNL_INDUSTRIAL,DC_3002,01/01/2023,17891
P003,CNL_INDUSTRIAL,DC_3002,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3002,01/01/2023,6972
P002,CNL_TRANSPORTE,DC_3002,01/01/2023,16977
P003,CNL_TRANSPORTE,DC_3002,01/01/2023,0
P001,CNL_RETAIL,DC_3002,01/01/2023,5134
P002,CNL_RETAIL,DC_3002,01/01/2023,18737
P003,CNL_RETAIL,DC_3002,01/01/2023,2586
P001,CNL_GOBIERNO,DC_3002,01/01/2023,3933
P002,CNL_GOBIERNO,DC_3002,01/01/2023,16047
P003,CNL_GOBIERNO,DC_3002,01/01/2023,2114
P001,CNL_INDUSTRIAL,DC_3003,01/01/2023,4686
P002,CNL_INDUSTRIAL,DC_3003,01/01/2023,7267
P003,CNL_INDUSTRIAL,DC_3003,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3003,01/01/2023,5696
P002,CNL_TRANSPORTE,DC_3003,01/01/2023,5525
P003,CNL_TRANSPORTE,DC_3003,01/01/2023,0
P001,CNL_RETAIL,DC_3003,01/01/2023,4081
P002,CNL_RETAIL,DC_3003,01/01/2023,10520
P003,CNL_RETAIL,DC_3003,01/01/2023,0
P001,CNL_GOBIERNO,DC_3003,01/01/2023,3088
P002,CNL_GOBIERNO,DC_3003,01/01/2023,580
P003,CNL_GOBIERNO,DC_3003,01/01/2023,1638
P001,CNL_INDUSTRIAL,DC_3004,01/01/2023,5519
P002,CNL_INDUSTRIAL,DC_3004,01/01/2023,1171
P003,CNL_INDUSTRIAL,DC_3004,01/01/2023,2909
P001,CNL_TRANSPORTE,DC_3004,01/01/2023,6781
P002,CNL_TRANSPORTE,DC_3004,01/01/2023,6073
P003,CNL_TRANSPORTE,DC_3004,01/01/2023,0
P001,CNL_RETAIL,DC_3004,01/01/2023,4717
P002,CNL_RETAIL,DC_3004,01/01/2023,31704
P003,CNL_RETAIL,DC_3004,01/01/2023,2688
P001,CNL_GOBIERNO,DC_3004,01/01/2023,3784
P002,CNL_GOBIERNO,DC_3004,01/01/2023,4543
P003,CNL_GOBIERNO,DC_3004,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3005,01/01/2023,4692
P002,CNL_INDUSTRIAL,DC_3005,01/01/2023,13369
P003,CNL_INDUSTRIAL,DC_3005,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3005,01/01/2023,5414
P002,CNL_TRANSPORTE,DC_3005,01/01/2023,1713
P003,CNL_TRANSPORTE,DC_3005,01/01/2023,0
P001,CNL_RETAIL,DC_3005,01/01/2023,4156
P002,CNL_RETAIL,DC_3005,01/01/2023,25607
P003,CNL_RETAIL,DC_3005,01/01/2023,2052
P001,CNL_GOBIERNO,DC_3005,01/01/2023,3228
P002,CNL_GOBIERNO,DC_3005,01/01/2023,7490
P003,CNL_GOBIERNO,DC_3005,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3006,01/01/2023,4724
P002,CNL_INDUSTRIAL,DC_3006,01/01/2023,27674
P003,CNL_INDUSTRIAL,DC_3006,01/01/2023,2302
P001,CNL_TRANSPORTE,DC_3006,01/01/2023,5822
P002,CNL_TRANSPORTE,DC_3006,01/01/2023,3718
P003,CNL_TRANSPORTE,DC_3006,01/01/2023,0
P001,CNL_RETAIL,DC_3006,01/01/2023,4111
P002,CNL_RETAIL,DC_3006,01/01/2023,17737
P003,CNL_RETAIL,DC_3006,01/01/2023,2159
P001,CNL_GOBIERNO,DC_3006,01/01/2023,3411
P002,CNL_GOBIERNO,DC_3006,01/01/2023,4124
P003,CNL_GOBIERNO,DC_3006,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3007,01/01/2023,5770
P002,CNL_INDUSTRIAL,DC_3007,01/01/2023,29174
P003,CNL_INDUSTRIAL,DC_3007,01/01/2023,3140
P001,CNL_TRANSPORTE,DC_3007,01/01/2023,7054
P002,CNL_TRANSPORTE,DC_3007,01/01/2023,40080
P003,CNL_TRANSPORTE,DC_3007,01/01/2023,0
P001,CNL_RETAIL,DC_3007,01/01/2023,5934
P002,CNL_RETAIL,DC_3007,01/01/2023,21545
P003,CNL_RETAIL,DC_3007,01/01/2023,0
P001,CNL_GOBIERNO,DC_3007,01/01/2023,4364
P002,CNL_GOBIERNO,DC_3007,01/01/2023,21199
P003,CNL_GOBIERNO,DC_3007,01/01/2023,2571
P001,CNL_INDUSTRIAL,DC_3008,01/01/2023,4218
P002,CNL_INDUSTRIAL,DC_3008,01/01/2023,16767
P003,CNL_INDUSTRIAL,DC_3008,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3008,01/01/2023,5065
P002,CNL_TRANSPORTE,DC_3008,01/01/2023,17594
P003,CNL_TRANSPORTE,DC_3008,01/01/2023,0
P001,CNL_RETAIL,DC_3008,01/01/2023,3976
P002,CNL_RETAIL,DC_3008,01/01/2023,4658
P003,CNL_RETAIL,DC_3008,01/01/2023,2495
P001,CNL_GOBIERNO,DC_3008,01/01/2023,2994
P002,CNL_GOBIERNO,DC_3008,01/01/2023,2257
P003,CNL_GOBIERNO,DC_3008,01/01/2023,2067
P001,CNL_INDUSTRIAL,DC_3009,01/01/2023,5822
P002,CNL_INDUSTRIAL,DC_3009,01/01/2023,3411
P003,CNL_INDUSTRIAL,DC_3009,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3009,01/01/2023,6700
P002,CNL_TRANSPORTE,DC_3009,01/01/2023,28281
P003,CNL_TRANSPORTE,DC_3009,01/01/2023,0
P001,CNL_RETAIL,DC_3009,01/01/2023,5086
P002,CNL_RETAIL,DC_3009,01/01/2023,15507
P003,CNL_RETAIL,DC_3009,01/01/2023,0
P001,CNL_GOBIERNO,DC_3009,01/01/2023,4304
P002,CNL_GOBIERNO,DC_3009,01/01/2023,15204
P003,CNL_GOBIERNO,DC_3009,01/01/2023,0
P001,CNL_INDUSTRIAL,DC_3010,01/01/2023,4821
P002,CNL_INDUSTRIAL,DC_3010,01/01/2023,28583
P003,CNL_INDUSTRIAL,DC_3010,01/01/2023,0
P001,CNL_TRANSPORTE,DC_3010,01/01/2023,5735
