Producto,Canal,Ubicacion,Fecha,Cantidad
ALIM LIQ ALMENDR COMBIF 946M C,AUTOSERVICIOS,UNICA,01/01/2022,40044.18
ALIM LIQ ALMENDRA COMBFIT 946M,AUTOSERVICIOS,UNICA,01/01/2022,1634.688
ALIM LIQ COCO COMBIFIT 946ML,AUTOSERVICIOS,UNICA,01/01/2022,533.544
ALIM LIQ COCO COMBIFIT 946ML C,AUTOSERVICIOS,UNICA,01/01/2022,24520.32
ALPURA FRUTAL CB DURAZNO 1L,AUTOSERVICIOS,UNICA,01/01/2022,767
ALPURA FRUTAL CB FRESA 1L,AUTOSERVICIOS,UNICA,01/01/2022,1676
ALPURA FRUTAL CB MANGO 1L,AUTOSERVICIOS,UNICA,01/01/2022,975
ALPURA FRUTAL CB PI?A COCO 1L,AUTOSERVICIOS,UNICA,01/01/2022,0
BEB FRESA DESL PQ C/6PZ 220G,AUTOSERVICIOS,UNICA,01/01/2022,0
BEB FRESA MORA PQ C/6PZ 220G,AUTOSERVICIOS,UNICA,01/01/2022,0
BEB FRESA PQ C/6 PZ 220G,AUTOSERVICIOS,UNICA,01/01/2022,0
BEB MULTISAB DESL PQC/10 220G,AUTOSERVICIOS,UNICA,01/01/2022,144337.6
BEB MULTISABOR PQ C/10PZ 220G,AUTOSERVICIOS,UNICA,01/01/2022,311735.6
CREMA ACID BAJA EN GRASA 426ML,AUTOSERVICIOS,UNICA,01/01/2022,0
CREMA ACIDA 200 ML,AUTOSERVICIOS,UNICA,01/01/2022,804.6
CREMA ACIDA 200 ML CEDIS,AUTOSERVICIOS,UNICA,01/01/2022,170179.2
CREMA ACIDA 426 ML,AUTOSERVICIOS,UNICA,01/01/2022,0
CREMA ACIDA 426ML CH,AUTOSERVICIOS,UNICA,01/01/2022,0
CREMA ACIDA 450 ML,AUTOSERVICIOS,UNICA,01/01/2022,2712.15
CREMA ACIDA 450 ML CEDIS,AUTOSERVICIOS,UNICA,01/01/2022,568749.6
CREMA ACIDA 450 ML. PAQ. C/3,AUTOSERVICIOS,UNICA,01/01/2022,0
CREMA ACIDA 900 ML,AUTOSERVICIOS,UNICA,01/01/2022,1334.7
CREMA ACIDA 900 ML CEDIS,AUTOSERVICIOS,UNICA,01/01/2022,422809.2
CREMA ACIDA 900ML ENF CHEP,AUTOSERVICIOS,UNICA,01/01/2022,648
CREMA ACIDA 945 ML ENF CHEP,AUTOSERVICIOS,UNICA,01/01/2022,0
CREMA ACIDA BAJA EN GRASA 200M,AUTOSERVICIOS,UNICA,01/01/2022,207
