Product,Channel,Loc,Fecha,Cantidad
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2020-12-28,0
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-01-04,435
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-01-11,809
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-01-18,641
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-01-25,777
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-02-01,770
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-02-08,663
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-02-15,695
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-02-22,867
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-03-01,581
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-03-08,620
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-03-15,683
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-03-22,769
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-03-29,697
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-04-05,729
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-04-12,666
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-04-19,614
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-04-26,820
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-05-03,796
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-05-10,761
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-05-17,642
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-05-24,730
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-05-31,605
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-06-07,882
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-06-14,1237
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-06-21,618
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-06-28,572
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-07-05,870
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-07-12,646
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-07-19,781
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-07-26,827
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-08-02,975
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-08-09,726
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-08-16,802
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,2021-08-23,689
