Producto,Desc_Producto,Familia_Producto,Categoria,Segmentacion_Producto,Ubicacion,Desc_Ubicacion,Origen_Abasto,OverrideClasificacionABCD,Override_Min_Politica_Inventarios,Override_Max_Politica_Inventarios,Medida_Override,Tipo_Override,MargenUnitario,LeadTime_Abasto_Dias,Frecuencia_Revision_Dias,Fill_Rate,MOQ,Tamano_Lote,Unidades_Pallet,Costo_Unidad,Tolerancia_Vida_Util_Dias,Vida_Util_Dias,Unidad_Medida_UOM,Presentacion,Desc_Empaque_UOM_Base,Unidades_Empaque,Cantidad_Demanda_Indirecta,Nivel_OA
1012,AGAMATRIX WS LANCETAS CAJA 100 PZS ,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,20,1,1,50.41,335,365,,CAJA,CAJA,,,
2327,AGUJAS NOVOFINE 32G 6MM 7 PIEZAS ,Slow Mover,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,0.01,335,365,,PZ,PZ,,,
730,BD ULTRA FINE AGUJA PLUMA INSULINA 4MM C/10,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,54.66,335,365,,pz,pz,,,
2340,BD ULTRA FINE AGUJA PLUMA INSULINA 4MM C/100,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,387.5,335,365,,PZ,PZ,,,
1513,BD ULTRA FINE AGUJA PLUMA INSULINA 5MM C/10,ND,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,46.81,335,365,,PZ,PZ,,,
1346,BD ULTRA FINE CAJA C/30 JERINGAS INSULINA 31GX6MM 3ML,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,109.09,335,365,,CAJA,CAJA,,,
1347,BD ULTRA FINE JERINGA INSULINA 31GX6MM .5ML C/10,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,46.82,335,365,,PZ,PZ,,,
1348,BD ULTRA FINE JERINGA INSULINA 31GX6MM 1ML C/10,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,45.91,335,365,,PZ,PZ,,,
2334,BENESTA LANCETAS CAJA 100 PZS,Slow Mover,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,35.2,335,365,,CAJA,CAJA,,,
1520,BOSTON PLANTILLA MEMORY FARM M,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,6,1,1,67.1,335,365,,PAR,PAR,,,
865,BP-103H MONITOR DE PRESION AUTOMATICO NEUTEK,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,419.88,335,365,,pz,pz,,,
628,Caja de Agujas Novofine 32G Tip etw,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,386.87,335,365,,pz,pz,,,
1069,CDA CARTERA PORTA INSULINA,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,125.4,335,365,,pz,pz,,,
2044,CITIZEN BASCULA DIGITAL,Slow Mover,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,304.61,335,365,,PZ,PZ,,,
2516,DL AGUJA PLUMA INSULINA 4MM C/10 PZ,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,34.22,335,365,,PZ,PZ,,,
2503,DL AGUJA PLUMA INSULINA 4MM C/100 PZ,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,353.89,335,365,,PZ,PZ,,,
2472,GLUCOMETRO CONTOUR ELITE,ND,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,8,1,1,215.52,335,365,,PZ,PZ,,,
2405,GLUCOMETRO CONTOUR PLUS,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,8,1,1,215.52,335,365,,PZ,PZ,,,
2483,GLUCOMETRO CONTOUR PLUS INSUMO,ND,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,0.01,0,0,,PZ,PZ,,,
1010,GLUCOMETRO PRESTO AGAMATRIX,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,12,1,1,248.68,335,365,,PZ,PZ,,,
2353,GLUCOMETRO PRESTO AGAMATRIX 02,ND,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,12,1,1,261.14,335,365,,PZ,PZ,,,
1649,NEUTEK BAUMANOMETRO MUÑECA BP 202H,Slow Mover,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,319.37,335,365,,PZ,PZ,,,
2373,TARJETA 100 APOYO A PACIENTES,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,0,0,0,,PIEZA,PIEZA,,,
2370,TARJETA 20 APOYO A PACIENTES,Slow Mover,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,0,0,0,,PIEZA,PIEZA,,,
2374,TARJETA 200 APOYO A PACIENTES,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,0,0,0,,PIEZA,PIEZA,,,
2371,TARJETA 30 APOYO A PACIENTES,Slow Mover,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,0,0,0,,PIEZA,PIEZA,,,
2372,TARJETA 50 APOYO A PACIENTES,,ARTICULOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,0,0,0,,PIEZA,PIEZA,,,
